Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
EAW87356.1	hCG29188 [Homo sapiens]	Pf00038, Pf00254, Pf00769, Pf01442, Pf01496, Pf01576, Pf01875, Pf02463, Pf03938, Pf03961, Pf03962, Pf04111, Pf04156, Pf04849, Pf05029, Pf05483, Pf05557, Pf05622, Pf05667, Pf05701, Pf05911, Pf06160, Pf06248, Pf07111, Pf07888, Pf07926, Pf08317, Pf08614, Pf09726, Pf09728, Pf09730, Pf09731, Pf09744, Pf09755, Pf09789, Pf10174, Pf10186, Pf10211, Pf10234, Pf10498, Pf11559, Pf12128, Pf12718, Pf12795, Pf13166, Pf13514, Pf13851, Pf13863, Pf13868, Pf14915, Pf14988, Pf14992, Pf15066, Pf15188, Pf15272, Pf15397, Pf15619	23307	FKBP15	9
XP_005246274.1	abl interactor 2 isoform X1 [Homo sapiens]	Pf00018, Pf07653, Pf07815, Pf14604	10152	ABI2	2
NP_001230882.1	kinesin-like protein KIF2A isoform 4 [Homo sapiens]	Pf00225	3796	KIF2A	5
XP_011543255.1	glucose 1,6-bisphosphate synthase isoform X1 [Homo sapiens]	Pf00408, Pf02878, Pf02879, Pf02880	283209	PGM2L1	11
NP_055682.1	kelch repeat and BTB domain-containing protein 11 [Homo sapiens]	Pf00651, Pf01344, Pf13964	9920	KBTBD11	8; CHR_HSCHR8_8_CTG1
NP_872578.1	28S ribosomal protein S9, mitochondrial [Homo sapiens]	Pf00380	64965	MRPS9	2
EAW75340.1	opioid growth factor receptor, isoform CRA_f [Homo sapiens]	Pf04652, Pf04664, Pf05518, Pf05616, Pf05887, Pf06333, Pf07174, Pf09786, Pf12238, Pf15279, Pf15325	11054	OGFR	20
BAB47490.2	KIAA1861 protein, partial [Homo sapiens]	Pf10474, Pf10475	55610	CCDC132; VPS50	7
XP_011510519.1	histone deacetylase 4 isoform X1 [Homo sapiens]	Pf00850, Pf02841, Pf09731, Pf12203, Pf12474, Pf13868	9759	HDAC4	2
BAG57294.1	unnamed protein product [Homo sapiens]	Pf11712	147007	TMEM199	17
EAW55163.1	peroxisomal D3,D2-enoyl-CoA isomerase, isoform CRA_e [Homo sapiens]	Pf00378, Pf00887	10455	ECI2	6
NP_001188267.1	scaffold attachment factor B1 isoform 1 [Homo sapiens]	Pf00076, Pf02037, Pf13893, Pf14259	6294	SAFB	19
NP_001317656.1	COP9 signalosome complex subunit 4 isoform 3 [Homo sapiens]	Pf01399	51138	COPS4	4
NP_001073886.1	zinc finger protein 629 [Homo sapiens]	Pf00096, Pf13465, Pf14353	23361	ZNF629	16
EAW91377.1	importin 9, isoform CRA_c, partial [Homo sapiens]	Pf03810	55705	IPO9	1
AAC39751.1	cargo selection protein TIP47 [Homo sapiens]	Pf03036	10226	PLIN3	19
CAA07022.1	beta-tubulin cofactor D [Homo sapiens]	Pf12612	6904	TBCD	17
2WWP_A	Chain A, Crystal Structure Of The Human Lipocalin-type Prostaglandin D Synthase				
BAG35868.1	unnamed protein product [Homo sapiens]	Pf01992	9114	ATP6V0D1	16
3O47_A	Chain A, Crystal structure of ARFGAP1-ARF1 fusion protein				
XP_011522151.1	lethal(2) giant larvae protein homolog 1 isoform X1 [Homo sapiens]	Pf08366	3996	LLGL1	17
5FWK_A	Chain A, Atomic Cryoem Structure Of Hsp90-cdc37-cdk4 Complex				
NP_001012.1	40S ribosomal protein S17 [Homo sapiens]	Pf00833	6218	RPS17; RPS17L	15; CHR_HSCHR15_5_CTG8
NP_001354650.1	peripheral plasma membrane protein CASK isoform 4 [Homo sapiens]				
NP_056377.1	UBX domain-containing protein 7 [Homo sapiens]	Pf00789, Pf13899, Pf14555	26043	UBXN7	3
XP_016876870.1	protein phosphatase 1A isoform X1 [Homo sapiens]	Pf00481, Pf07830	5494	PPM1A	14
XP_005265738.1	G-rich sequence factor 1 isoform X1 [Homo sapiens]	Pf00076, Pf14259	2926	GRSF1	4
EAW69521.1	cold inducible RNA binding protein, isoform CRA_b [Homo sapiens]	Pf00076, Pf13893, Pf14259	1153	CIRBP	19
AAH62341.1	Slingshot homolog 1 (Drosophila) [Homo sapiens]	Pf00782, Pf08766	54434	SSH1	12
XP_016871100.1	inhibitor of nuclear factor kappa-B kinase subunit alpha isoform X1 [Homo sapiens]	Pf00069, Pf07714, Pf12179	1147	CHUK	10
4P5O_I	Chain I, Structure Of An Rbx1-ubc12~nedd8-cul1-dcn1 Complex: A Ring-e3- E2~ubiquitin-like Protein-substrate Intermediate Trapped In Action				
EAW70091.1	fumarate hydratase, isoform CRA_b [Homo sapiens]	Pf00206, Pf10415	2271	FH	1
4KXU_A	Chain A, Human transketolase in covalent complex with donor ketose D-fructose-6-phosphate				
BAG59267.1	unnamed protein product [Homo sapiens]	Pf00790, Pf03127	10043	TOM1	22
NP_066959.1	reticulon-1 isoform A [Homo sapiens]	Pf02453	6252	RTN1	14
NP_055991.1	F-box only protein 28 isoform a [Homo sapiens]	Pf00646	23219	FBXO28	1
EAW97274.1	TBC1 domain family, member 15, isoform CRA_b [Homo sapiens]	Pf00566, Pf12068	64786	TBC1D15	12
AAG50273.1	vesicle transport-related protein [Homo sapiens]	Pf00995	23256	SCFD1	14
XP_024303484.1	glyoxylate reductase/hydroxypyruvate reductase isoform X1 [Homo sapiens]				
XP_016880525.1	tether containing UBX domain for GLUT4 isoform X1 [Homo sapiens]	Pf00789, Pf11470	79058	ASPSCR1	17
6HFH_A	Chain A, CAD protein				
AAC39854.1	thyroid hormone receptor-associated protein complex component TRAP220 [Homo sapiens]	Pf10744	5469	MED1	17
NP_001278433.1	protein phosphatase inhibitor 2 isoform 1 [Homo sapiens]	Pf04979	5504	PPP1R2	3
AAI04959.1	Minichromosome maintenance complex component 3 associated protein [Homo sapiens]	Pf03399, Pf10075	8888	MCM3AP	21
XP_005267456.2	echinoderm microtubule-associated protein-like 1 isoform X1 [Homo sapiens]	Pf00400, Pf03451	2009	EML1	14
XP_006720310.1	serine/threonine-protein kinase VRK1 isoform X2 [Homo sapiens]	Pf00069, Pf07714, Pf14531	7443	VRK1	14
AAM21121.1	small GTP binding protein RhoG [Homo sapiens]	Pf00025, Pf00071, Pf04670, Pf08477	391	RHOG	11
NP_001116427.1	seipin isoform 1 [Homo sapiens]	Pf03344, Pf06775	26580	BSCL2	11
BAD97000.1	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A variant, partial [Homo sapiens]	Pf12799, Pf13855, Pf14580	8125	ANP32A	15
NP_065760.1	paraneoplastic antigen-like protein 8B [Homo sapiens]	Pf14893	57469	PNMAL2; PNMA8B	19
NP_001316568.1	protein Spindly isoform a [Homo sapiens]		54908	SPDL1	5
EAW62348.1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II, isoform CRA_f [Homo sapiens]	Pf03171, Pf08336, Pf13640	8974	P4HA2	5
AEW26630.1	GSTT2 [Homo sapiens]	Pf00043, Pf02798, Pf13409, Pf13410, Pf13417	653689	GSTT2B	22
XP_011527888.1	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial isoform X1 [Homo sapiens]		4731	NDUFV3	21
NP_001333154.1	WD repeat-containing protein 48 isoform 4 [Homo sapiens]	Pf00400, Pf11816	57599	WDR48	3
XP_016861551.1	cell adhesion molecule 2 isoform X1 [Homo sapiens]	Pf00047, Pf07654, Pf07679, Pf08205, Pf13895, Pf13927	253559	CADM2	3
EAL23707.1	unc-84 homolog A (C. elegans) [Homo sapiens]	Pf07738, Pf09387, Pf10174, Pf14915	23353	SUN1	7
NP_001317217.1	SWI/SNF complex subunit SMARCC2 isoform d [Homo sapiens]	Pf04433	6601	SMARCC2	12
NP_077003.1	coiled-coil domain-containing protein 86 [Homo sapiens]		79080	CCDC86	11
NP_077001.1	dCTP pyrophosphatase 1 [Homo sapiens]		79077	DCTPP1	16
XP_016865110.1	E3 ubiquitin-protein ligase TRIM36 isoform X1 [Homo sapiens]	Pf00041, Pf00097, Pf00430, Pf00622, Pf00643, Pf13445, Pf13923	55521	TRIM36	5
AAH67263.1	Exocyst complex component 4 [Homo sapiens]	Pf04048	60412	EXOC4	7
NP_004334.1	calreticulin precursor [Homo sapiens]	Pf00262	811	CALR	19
AAF76523.1	unknown [Homo sapiens]	Pf05334	10827	FAM114A2	5
AAH36025.1	Protocadherin 8 [Homo sapiens]	Pf00028, Pf08266	5100	PCDH8	13
NP_001307256.1	coiled-coil-helix-coiled-coil-helix domain-containing protein 2 precursor isoform 1 [Homo sapiens]	Pf06747	51142	CHCHD2	7
NP_001257766.1	cysteine-rich protein 2 isoform 2 [Homo sapiens]	Pf00412	1397	CRIP2	14
NP_001098707.1	coronin-1C isoform a [Homo sapiens]	Pf00400, Pf08953, Pf08954	23603	CORO1C	12
ANN47479.1	amyloid beta A4 protein isoform a precursor [Homo sapiens]	Pf00014, Pf02177, Pf03494, Pf03938, Pf10515, Pf11740, Pf12924, Pf12925, Pf13868, Pf15463	351	APP	21
BAB14218.1	unnamed protein product [Homo sapiens]	Pf06762	64788	LMF1	16
AAH45640.1	Importin 5 [Homo sapiens]	Pf02985, Pf12755, Pf13513, Pf13646	3843	IPO5	13
NP_001229291.1	melanoma-associated antigen D4 isoform 3 [Homo sapiens]	Pf01454	81557; 728239	MAGED4B; MAGED4	X
AAN41656.1	ezrin-binding protein PACE-1 [Homo sapiens]	Pf00069, Pf07714	57147	SCYL3	1
NP_001350470.1	drebrin isoform c [Homo sapiens]				
NP_065851.1	intraflagellar transport protein 80 homolog isoform a [Homo sapiens]	Pf00400	57560	IFT80	3
XP_006710865.2	ATP-binding cassette sub-family D member 3 isoform X1 [Homo sapiens]	Pf00005, Pf06472	5825	ABCD3	1
BAC86392.1	unnamed protein product [Homo sapiens]	Pf15262	57482	KIAA1211	4
NP_005497.1	lysosome membrane protein 2 isoform 1 precursor [Homo sapiens]	Pf01130	950	SCARB2	4
NP_005023.2	plastin-3 isoform 1 [Homo sapiens]	Pf00036, Pf00307, Pf13499	5358	PLS3	X
CAD97647.1	hypothetical protein, partial [Homo sapiens]	Pf12755, Pf13513, Pf13646	26953	RANBP6	9
NP_005639.1	elongin-C isoform a [Homo sapiens]	Pf03931	6921	TCEB1; ELOC	8
EAW75784.1	phospholipid transfer protein, isoform CRA_c [Homo sapiens]	Pf01273, Pf02886	5360	PLTP	20
CAA26956.2	put. keratin K7, partial [Homo sapiens]	Pf00038	3855	KRT7	12
3II0_A	Chain A, Crystal structure of human Glutamate oxaloacetate transaminase 1 (GOT1)				
6D6Q_M	Chain M, Human nuclear exosome-MTR4 RNA complex - overall reconstruction				
XP_016878188.1	probable E3 ubiquitin-protein ligase HERC1 isoform X1 [Homo sapiens]	Pf00400, Pf00415, Pf00622, Pf00632, Pf13540	8925	HERC1	15
BAD97316.1	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) variant, partial [Homo sapiens]	Pf00198, Pf00364, Pf02817	1737	DLAT	11
BAA91255.1	unnamed protein product [Homo sapiens]	Pf00892, Pf04142	54978	C2orf18; SLC35F6	2
BAD96298.1	armadillo repeat containing, X-linked 1 variant, partial [Homo sapiens]	Pf04826, Pf09759, Pf13646	51309	ARMCX1	X
BAF31287.1	BAT1 protein [Homo sapiens]	Pf00270, Pf00271, Pf14617	7919	DDX39B	6
CAD39021.1	hypothetical protein, partial [Homo sapiens]	Pf01521	81689	ISCA1	9
NP_005329.3	huntingtin-interacting protein 1 isoform 1 [Homo sapiens]	Pf00038, Pf00529, Pf00769, Pf01417, Pf01576, Pf01608, Pf02463, Pf04111, Pf04156, Pf05557, Pf05622, Pf07227, Pf07321, Pf07651, Pf07888, Pf09726, Pf09730, Pf09731, Pf09787, Pf09789, Pf10174, Pf10186, Pf12072, Pf12128, Pf12795, Pf13514, Pf13851, Pf15112, Pf15619	3092	HIP1	7
CAA08993.1	TOM1-like protein [Homo sapiens]	Pf00790, Pf03127	10040	TOM1L1	17
NP_001171846.1	ethanolamine-phosphate cytidylyltransferase isoform 1 [Homo sapiens]	Pf01467	5833	PCYT2	17
AAM15734.1	rac-GTP binding protein-like protein [Homo sapiens]	Pf00071, Pf08355, Pf08356, Pf08477	55288	RHOT1	17
NP_004771.2	transcription elongation factor A protein-like 1 [Homo sapiens]	Pf04538	9338	TCEAL1	X
NP_001305844.1	limbic system-associated membrane protein isoform 2 precursor [Homo sapiens]	Pf00047, Pf07679, Pf13895, Pf13927	4045	LSAMP	3
EAW98213.1	KIAA0152, isoform CRA_b [Homo sapiens]	Pf11721	9761	MLEC	12
XP_005263479.1	ubiquitin conjugation factor E4 B isoform X1 [Homo sapiens]	Pf04564, Pf10408	10277	UBE4B	1
AAB49284.1	GABA-A receptor epsilon subunit [Homo sapiens]	Pf02931, Pf02932	2564	GABRE	X
AAP97224.1	GTP:AMP phosphotransferase [Homo sapiens]	Pf00406, Pf05191, Pf13207, Pf13238, Pf13671	50808	AK3	9
XP_005256923.1	nuclear receptor corepressor 1 isoform X1 [Homo sapiens]	Pf00249, Pf13921	9611	NCOR1	17
XP_011517854.2	sickle tail protein homolog isoform X1 [Homo sapiens]		56243	KIAA1217	10
XP_016863874.1	teneurin-3 isoform X1 [Homo sapiens]	Pf01500, Pf06247, Pf06484, Pf07974, Pf15636	55714	TENM3	4
NP_667339.1	E3 ubiquitin-protein ligase ZNRF2 [Homo sapiens]	Pf00097, Pf12678, Pf13639, Pf13923	223082	ZNRF2	7
BAG37782.1	unnamed protein product [Homo sapiens]	Pf04495, Pf13180	5715	PSMD9	12
XP_016856233.1	pogo transposable element with ZNF domain isoform X1 [Homo sapiens]	Pf03184, Pf03221	23126	POGZ	1
NP_789788.1	glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial [Homo sapiens]	Pf02686	283459	GATC	12
AAO73862.1	MPFYVE [Homo sapiens]	Pf01363	84936	ZFYVE19	15
5HZH_A	Chain A, Ras-related C3 botulinum toxin substrate 1,NPH1-1,Ras-related C3 botulinum toxin substrate 1				
NP_001312.1	cysteine and glycine-rich protein 2 [Homo sapiens]	Pf00412	1466	CSRP2	12
EAW86491.1	pitrilysin metallopeptidase 1, isoform CRA_b [Homo sapiens]	Pf00675, Pf05193, Pf08367	10531	PITRM1	10
AAA16022.1	onconeural ventral antigen-1 [Homo sapiens]	Pf00013, Pf13014	4857	NOVA1	14
BAB32435.1	WDC146 [Homo sapiens]	Pf00400	55339	WDR33	2
NP_060598.3	pre-rRNA-processing protein TSR1 homolog [Homo sapiens]	Pf04950, Pf08142	55720	TSR1	17
BAF84937.1	unnamed protein product [Homo sapiens]	Pf12799, Pf13855	55227	LRRC1	6
NP_001243339.1	ras-related protein Rab-18 isoform 2 [Homo sapiens]	Pf00025, Pf00071, Pf08477	22931	RAB18	10
XP_006717310.1	spectrin alpha chain, non-erythrocytic 1 isoform X4 [Homo sapiens]	Pf00018, Pf00036, Pf00435, Pf07653, Pf08239, Pf08726, Pf13405, Pf13499, Pf14604	6709	SPTAN1	9
1YB5_A	Chain A, Crystal Structure Of Human Zeta-crystallin With Bound Nadp				
AAI10545.1	Nicotinamide nucleotide transhydrogenase [Homo sapiens]	Pf01262, Pf02233, Pf05222, Pf12769	23530	NNT	5
EAW67681.1	FAD-dependent oxidoreductase domain containing 1, isoform CRA_a [Homo sapiens]	Pf01266	55572	FOXRED1	11
NP_005773.3	THO complex subunit 4 [Homo sapiens]	Pf00076, Pf13893, Pf14259	10189	ALYREF	17
NP_004086.1	eukaryotic translation initiation factor 4E-binding protein 1 [Homo sapiens]	Pf05456	1978	EIF4EBP1	8
BAD93045.1	adaptor-related protein complex 1, mu 1 subunit variant, partial [Homo sapiens]	Pf00928	8907	AP1M1	19
NP_055873.1	von Willebrand factor A domain-containing protein 8 isoform a precursor [Homo sapiens]	Pf00092, Pf07728, Pf13191, Pf13519	23078	VWA8	13
AAD51886.1	fas-associated factor 1 [Homo sapiens]	Pf00789, Pf14555	11124	FAF1	1
BAC11634.1	unnamed protein product [Homo sapiens]	Pf03781	285362	SUMF1	3
AAF29130.1	HSPC166 [Homo sapiens]	Pf07258	29099	COMMD9	11
AAQ62842.1	melanoma chondroitin sulfate proteoglycan [Homo sapiens]	Pf00054, Pf02210	1464	CSPG4	15
AEQ28039.1	beta actin, partial [Homo sapiens]	Pf00022			
NP_001317627.1	YTH domain-containing protein 1 isoform 3 [Homo sapiens]	Pf04146	91746	YTHDC1	4; CHR_HSCHR4_1_CTG9
XP_005262891.1	protocadherin Fat 1 isoform X1 [Homo sapiens]	Pf00008, Pf00028, Pf00054, Pf02210, Pf05444, Pf06247, Pf07645, Pf12947, Pf13385	2195	FAT1	4
AAB36476.1	N8 gene product long isoform, N8L protein=D52 homolog/leucine zipper protein {alternatively spliced, clone HK4a1} [human, normal kidney, Peptide, 248 aa]	Pf04201	7163	TPD52	8
BAG59274.1	unnamed protein product [Homo sapiens]	Pf00261	23172	FAM175B; ABRAXAS2	10
5NJX_A	Chain A, Peptidyl-prolyl cis-trans isomerase FKBP5				
BAG63727.1	unnamed protein product [Homo sapiens]	Pf00454, Pf00613	5297	PI4KA	22
AAH11855.1	DnaJ (Hsp40) homolog, subfamily A, member 3 [Homo sapiens]	Pf00226, Pf00684, Pf01556	9093	DNAJA3	16
NP_997715.1	biogenesis of lysosome-related organelles complex 1 subunit 3 [Homo sapiens]		388552	BLOC1S3	19
EAW64942.1	chromosome 3 open reading frame 60, isoform CRA_a [Homo sapiens]	Pf04430, Pf10946	25915	NDUFAF3	3
6GZJ_A	Chain A, Dynein light chain 1, cytoplasmic				
XP_011543356.1	nuclear mitotic apparatus protein 1 isoform X1 [Homo sapiens]	Pf04111, Pf07888, Pf12128	4926	NUMA1	11
AAH00338.1	PSMD7 protein, partial [Homo sapiens]	Pf01398, Pf13012	5713	PSMD7	16
NP_002092.1	glycophorin-C isoform 1 [Homo sapiens]		2995	GYPC	2
AAH11348.1	Chromosome 6 open reading frame 211 [Homo sapiens]	Pf01937	79624	C6orf211; ARMT1	6
2VZ5_A	Chain A, Structure of the PDZ domain of Tax1 (human T-cell leukemia virus type I) binding protein 3				
BAD97064.1	hypothetical protein FLJ10420 variant, partial [Homo sapiens]	Pf07933	55707	NECAP2	1
NP_001258867.1	multiple epidermal growth factor-like domains protein 8 isoform 1 precursor [Homo sapiens]	Pf00053, Pf00431, Pf07645, Pf12947, Pf13415, Pf13418, Pf13854	1954	MEGF8	19
BAG16182.1	URCC5 [Homo sapiens]		152518	NFXL1	4
4BKP_A	Chain A, Crystal structure of human GDP-L-fucose synthase with bound NADP				
NP_115603.2	transmembrane protein 164 isoform b [Homo sapiens]	Pf14808	84187	TMEM164	X
XP_011542830.1	pericentriolar material 1 protein isoform X1 [Homo sapiens]		5108	PCM1	8
BAG38026.1	unnamed protein product [Homo sapiens]	Pf04177	3476	IGBP1	X
2N1W_A	Chain A, Solution structure of human SUMO2				
AAH03060.1	Fucosidase, alpha-L- 2, plasma [Homo sapiens]	Pf01120	2519	FUCA2	6
EAW84094.1	hCG2033729, isoform CRA_c [Homo sapiens]	Pf00076, Pf13893, Pf14259	125950	RAVER1	19
3UJE_A	Chain A, Asymmetric complex of human neuron specific enolase-3-PGA/PEP				
NP_059447.2	major vault protein isoform 1 [Homo sapiens]	Pf01145, Pf01505, Pf11978	9961	MVP	16
NP_003156.1	syntaxin-binding protein 1 isoform a [Homo sapiens]	Pf00995	6812	STXBP1	9
CAE11867.1	hypothetical protein [Homo sapiens]	Pf00225	3797	KIF3C	2
NP_550433.1	uracil-DNA glycosylase isoform UNG2 [Homo sapiens]	Pf03167	7374	UNG	12
BAA91439.1	unnamed protein product [Homo sapiens]	Pf04893	25844	YIPF3	6
XP_011521752.1	MTSS1-like protein isoform X7 [Homo sapiens]	Pf08397	92154	MTSS1L	16
EAW70708.1	ankyrin repeat and zinc finger domain containing 1, isoform CRA_a [Homo sapiens]	Pf00023, Pf12796	55139	ANKZF1	2
NP_001181875.1	eukaryotic translation initiation factor 4 gamma 1 isoform 6 [Homo sapiens]	Pf00566, Pf02020, Pf02847, Pf02854	1981	EIF4G1	3
CAA55016.1	hnRNP-E1 [Homo sapiens]	Pf00013, Pf13014	5093	PCBP1	2
NP_004499.2	isopentenyl-diphosphate Delta-isomerase 1 isoform a [Homo sapiens]	Pf00293	3422	IDI1	10
AAC80170.1	alpha SNAP [Homo sapiens]	Pf14938	8775	NAPA	19
BAG52906.1	unnamed protein product [Homo sapiens]	Pf00320, Pf00412	57459	GATAD2B	1
P62857	40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1	Pf01200	6234	RPS28	19
NP_037403.1	proSAAS preproprotein [Homo sapiens]	Pf07259	27344	PCSK1N	X
EAW75631.1	hCG2044781 [Homo sapiens]	Pf00179, Pf10520			20
AAH08938.1	Histocompatibility (minor) 13 [Homo sapiens]	Pf04258, Pf06550	81502	HM13	20
NP_055681.1	protein transport protein Sec16A isoform 1 [Homo sapiens]	Pf12931, Pf12932	9919	SEC16A	9
AAH15937.1	Poly(A) binding protein interacting protein 1 [Homo sapiens]	Pf02854	10605	PAIP1	5
NP_001336845.1	protein FAM118A isoform 4 [Homo sapiens]	Pf13289	55007	FAM118A	22
XP_011522750.1	AP-2 complex subunit beta isoform X1 [Homo sapiens]	Pf01602, Pf02883, Pf09066, Pf12717, Pf13646	163	AP2B1	17
NP_663729.1	ATP synthase mitochondrial F1 complex assembly factor 2 [Homo sapiens]	Pf07542	91647	ATPAF2	17
BAF82712.1	unnamed protein product [Homo sapiens]	Pf10350	63892	THADA	2
CAE45928.1	hypothetical protein [Homo sapiens]	Pf02205	7456	WIPF1	2
AAH30618.1	Phospholipase B domain containing 2 [Homo sapiens]	Pf04916	196463	PLBD2	12
XP_005263429.1	lipopolysaccharide-responsive and beige-like anchor protein isoform X1 [Homo sapiens]	Pf02138, Pf06469, Pf08385, Pf13385, Pf14844	987	LRBA	4
BAF83539.1	unnamed protein product [Homo sapiens]	Pf02037, Pf04037, Pf04046	10992	SF3B2	11
BAD96975.1	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) variant, partial [Homo sapiens]	Pf00329	4722	NDUFS3	11
XP_005265826.1	pre-mRNA 3'-end-processing factor FIP1 isoform X1 [Homo sapiens]	Pf05182	81608	FIP1L1	4
NP_001163.1	arginase-2, mitochondrial precursor [Homo sapiens]	Pf00491	384	ARG2	14
AAC18044.1	antigen NY-CO-25, partial [Homo sapiens]	Pf00012	10808	HSPH1	13
AAH08741.1	PDLIM5 protein [Homo sapiens]	Pf00412, Pf00595, Pf13180	10611	PDLIM5	4
CAA50592.1	vacuolar proton ATPase [Homo sapiens]	Pf01991	529	ATP6V1E1	22
XP_011514713.1	trypsin-1 isoform X1 [Homo sapiens]	Pf00089	5644	PRSS1	7
AAL38980.1	WD repeat protein Gemin5 [Homo sapiens]	Pf00400	25929	GEMIN5	5
EAW51228.1	carboxypeptidase D, isoform CRA_b [Homo sapiens]	Pf00246, Pf04952, Pf13620, Pf13715	1362	CPD	17
NP_001003800.1	protein bicaudal D homolog 2 isoform 1 [Homo sapiens]	Pf03961, Pf04111, Pf04156, Pf05483, Pf06785, Pf09730	23299	BICD2	9
AAL83913.1	amplified in breast cancer 2 [Homo sapiens]	Pf10220	55181	SMG8	17
NP_006794.1	AP-3 complex subunit mu-2 [Homo sapiens]	Pf00928	10947	AP3M2	8
XP_016863063.1	SLIT-ROBO Rho GTPase-activating protein 3 isoform X1 [Homo sapiens]	Pf00018, Pf00611, Pf00620, Pf07653, Pf14604	9901	SRGAP3	3
XP_024308688.1	septin-2 isoform X1 [Homo sapiens]				
XP_024304570.1	chromodomain-helicase-DNA-binding protein 4 isoform X1 [Homo sapiens]				
NP_808807.2	transmembrane prolyl 4-hydroxylase isoform c [Homo sapiens]	Pf13499	54681	P4HTM	3
NP_001350467.1	TRPM8 channel-associated factor 2 isoform C [Homo sapiens]				
XP_016876716.1	centrosomal protein of 170 kDa protein B isoform X1 [Homo sapiens]	Pf00498, Pf15308	283638	CEP170B; KIAA0284	14
NP_005711.1	actin-related protein 2/3 complex subunit 1B [Homo sapiens]	Pf00400	10095	ARPC1B	7
EAW81454.1	KIAA2010, isoform CRA_c [Homo sapiens]	Pf04802	55671	SMEK1; PPP4R3A	14
AAC51831.1	dead box, Y isoform [Homo sapiens]	Pf00270, Pf00271, Pf04851	8653	DDX3Y	Y
EAW71480.1	hCG2041529, partial [Homo sapiens]				
NP_001317392.1	atlastin-2 isoform 8 [Homo sapiens]	Pf02263	64225	ATL2	2
EAW94499.1	CUE domain containing 1, isoform CRA_b [Homo sapiens]	Pf02845	404093	CUEDC1	17
EAW71780.1	P450 (cytochrome) oxidoreductase, isoform CRA_d [Homo sapiens]	Pf00175, Pf00258, Pf00667	5447	POR	7
EAW81086.1	RNA binding motif protein 25, isoform CRA_a [Homo sapiens]	Pf00076, Pf01480, Pf14259	58517	RBM25	14
CAA07619.2	lysine-ketoglutarate reductase /saccharopine dehydrogenase [Homo sapiens]	Pf01262, Pf03435, Pf05222	10157	AASS	7
BAG34912.1	unnamed protein product [Homo sapiens]	Pf00574	8192	CLPP	19
3RPN_A	Chain A, Crystal structure of human kappa class glutathione transferase in complex with S-hexylglutathione				
BAG59292.1	unnamed protein product [Homo sapiens]	Pf04495	26003	GORASP2	2
EAW96654.1	keratin 8, isoform CRA_d [Homo sapiens]	Pf00038, Pf01576, Pf05957, Pf06637, Pf12128, Pf13166, Pf13514, Pf15003	3856	KRT8	12
BAA02740.2	protein-tyrosine phosphatase [Homo sapiens]	Pf00017, Pf00102, Pf00782	5781	PTPN11	12
CAA16671.1	unnamed protein product [Homo sapiens]	Pf00578, Pf02630, Pf13905	9997	SCO2	22
AAI25229.1	Nucleoporin 160kDa [Homo sapiens]	Pf11715	23279	NUP160	11
AAH68538.1	PITPNA protein, partial [Homo sapiens]	Pf02121	5306	PITPNA	17
AAG42101.1	RAD50-interacting protein 1 [Homo sapiens]	Pf04437	60561	RINT1	7
